,MS407,,MS423
2023-02-01 00:00:00+00:00,379,,388
2023-02-01 01:00:00+00:00,272,,240
2023-02-01 02:00:00+00:00,166,,143
2023-02-01 03:00:00+00:00,103,,78
2023-02-01 04:00:00+00:00,131,,102
2023-02-01 05:00:00+00:00,275,,253
2023-02-01 06:00:00+00:00,654,,761
2023-02-01 07:00:00+00:00,1052,,1246
2023-02-01 08:00:00+00:00,1074,,1267
2023-02-01 09:00:00+00:00,1095,,1065
2023-02-01 10:00:00+00:00,1011,,1152
2023-02-01 11:00:00+00:00,1005,,1174
2023-02-01 12:00:00+00:00,954,,1062
2023-02-01 13:00:00+00:00,970,,992
2023-02-01 14:00:00+00:00,976,,1109
2023-02-01 15:00:00+00:00,1090,,1105
2023-02-01 16:00:00+00:00,1115,,1156
2023-02-01 17:00:00+00:00,1086,,1150
2023-02-01 18:00:00+00:00,1004,,1187
2023-02-01 19:00:00+00:00,981,,1214
2023-02-01 20:00:00+00:00,983,,1206
2023-02-01 21:00:00+00:00,940,,1024
2023-02-01 22:00:00+00:00,705,,841
2023-02-01 23:00:00+00:00,524,,606
2023-02-02 00:00:00+00:00,451,,440
2023-02-02 01:00:00+00:00,306,,274
2023-02-02 02:00:00+00:00,172,,127
2023-02-02 03:00:00+00:00,133,,100
2023-02-02 04:00:00+00:00,142,,107
2023-02-02 05:00:00+00:00,284,,288
2023-02-02 06:00:00+00:00,676,,679
2023-02-02 07:00:00+00:00,1064,,1266
2023-02-02 08:00:00+00:00,1134,,1173
2023-02-02 09:00:00+00:00,1095,,1184
2023-02-02 10:00:00+00:00,969,,1209
2023-02-02 11:00:00+00:00,1029,,1186
2023-02-02 12:00:00+00:00,966,,1148
2023-02-02 13:00:00+00:00,885,,963
2023-02-02 14:00:00+00:00,1013,,894
2023-02-02 15:00:00+00:00,1081,,960
2023-02-02 16:00:00+00:00,1153,,1121
2023-02-02 17:00:00+00:00,1125,,1042
2023-02-02 18:00:00+00:00,1125,,1082
2023-02-02 19:00:00+00:00,1075,,1164
2023-02-02 20:00:00+00:00,1003,,1168
2023-02-02 21:00:00+00:00,952,,1112
2023-02-02 22:00:00+00:00,754,,815
2023-02-02 23:00:00+00:00,574,,627
2023-02-03 00:00:00+00:00,483,,480
2023-02-03 01:00:00+00:00,317,,287
2023-02-03 02:00:00+00:00,198,,168
2023-02-03 03:00:00+00:00,160,,114
2023-02-03 04:00:00+00:00,137,,92
2023-02-03 05:00:00+00:00,284,,231
2023-02-03 06:00:00+00:00,619,,709
2023-02-03 07:00:00+00:00,1074,,1252
2023-02-03 08:00:00+00:00,1089,,1228
2023-02-03 09:00:00+00:00,1077,,1147
2023-02-03 10:00:00+00:00,1006,,1224
2023-02-03 11:00:00+00:00,959,,1140
2023-02-03 12:00:00+00:00,1011,,1115
2023-02-03 13:00:00+00:00,965,,1033
2023-02-03 14:00:00+00:00,1005,,1057
2023-02-03 15:00:00+00:00,1059,,930
2023-02-03 16:00:00+00:00,1056,,938
2023-02-03 17:00:00+00:00,1066,,936
2023-02-03 18:00:00+00:00,1054,,1022
2023-02-03 19:00:00+00:00,981,,1139
2023-02-03 20:00:00+00:00,956,,1096
2023-02-05 12:00:00+00:00,803,,866
2023-02-05 13:00:00+00:00,859,,858
2023-02-05 14:00:00+00:00,839,,875
2023-02-05 15:00:00+00:00,692,,755
2023-02-05 16:00:00+00:00,607,,748
2023-02-05 17:00:00+00:00,593,,665
