query,way,distance(meters),distance_label,duration(minutes),origin,origin_coordinates,destination,destination_coordinates,road_distance_timing(meters:seconds),duration_min(minutes),duration_max(minutes),query_origin,query_destination,timestamp,datetime_utc,,MS407,MS423,Weekday,Rush_hour,min_max,W+R2,logMS407,logMS423,diff,avg_traffic
"37.98706952, 23.75875395 , 37.9914926, 23.73333264",Leof. Alexandras,2282,2.3 km,4,"37.98706952, 23.75875395 ","37.9870695, 23.758754","37.9914926, 23.73333264","37.9914926, 23.7333326","{""0"": 0, ""85"": 12, ""163"": 27, ""199"": 34, ""283"": 46, ""367"": 53, ""448"": 59, ""628"": 74, ""737"": 82, ""768"": 85, ""818"": 88, ""906"": 96, ""956"": 101, ""983"": 104, ""1057"": 111, ""1128"": 119, ""1168"": 125, ""1232"": 131, ""1287"": 136, ""1342"": 140, ""1397"": 145, ""1591"": 163, ""1657"": 169, ""1706"": 173, ""1786"": 180, ""1869"": 186, ""1972"": 193, ""2071"": 201, ""2214"": 213, ""2280"": 220}",3,6,"37.98706952, 23.75875395 ","37.9914926, 23.73333264",1669860000,12/1/2022 2:00,,193,146,1,0,3,0,2.285557309,2.164352856,0,169.5
"37.98706952, 23.75875395 , 37.9914926, 23.73333264",Leof. Alexandras,2282,2.3 km,4,"37.98706952, 23.75875395 ","37.9870695, 23.758754","37.9914926, 23.73333264","37.9914926, 23.7333326","{""0"": 0, ""85"": 13, ""97"": 17, ""163"": 28, ""199"": 34, ""283"": 45, ""367"": 52, ""448"": 58, ""737"": 81, ""768"": 83, ""818"": 87, ""906"": 96, ""956"": 101, ""983"": 105, ""1057"": 111, ""1128"": 120, ""1232"": 130, ""1287"": 134, ""1342"": 138, ""1397"": 143, ""1531"": 156, ""1591"": 162, ""1706"": 172, ""1786"": 179, ""1869"": 186, ""1972"": 194, ""2071"": 202, ""2214"": 213, ""2280"": 220}",3,6,"37.98706952, 23.75875395 ","37.9914926, 23.73333264",1669863600,12/1/2022 3:00,,126,97,1,0,3,0,2.100370545,1.986771734,0,111.5
"37.98706952, 23.75875395 , 37.9914926, 23.73333264",Leof. Alexandras,2282,2.3 km,4,"37.98706952, 23.75875395 ","37.9870695, 23.758754","37.9914926, 23.73333264","37.9914926, 23.7333326","{""0"": 0, ""85"": 12, ""97"": 17, ""163"": 27, ""199"": 33, ""283"": 44, ""367"": 50, ""448"": 56, ""628"": 70, ""768"": 81, ""818"": 85, ""906"": 94, ""956"": 99, ""983"": 102, ""1057"": 109, ""1168"": 122, ""1232"": 127, ""1342"": 136, ""1397"": 140, ""1455"": 145, ""1531"": 152, ""1591"": 158, ""1657"": 164, ""1706"": 168, ""1786"": 174, ""1869"": 181, ""1972"": 188, ""2071"": 196, ""2214"": 207, ""2280"": 213}",3,6,"37.98706952, 23.75875395 ","37.9914926, 23.73333264",1669867200,12/1/2022 4:00,,136,101,1,0,3,0,2.133538908,2.004321374,0,118.5
"37.98706952, 23.75875395 , 37.9914926, 23.73333264",Leof. Alexandras,2282,2.3 km,4,"37.98706952, 23.75875395 ","37.9870695, 23.758754","37.9914926, 23.73333264","37.9914926, 23.7333326","{""0"": 0, ""85"": 12, ""163"": 28, ""199"": 35, ""283"": 48, ""367"": 56, ""448"": 62, ""628"": 76, ""737"": 84, ""768"": 86, ""818"": 90, ""906"": 98, ""983"": 105, ""1057"": 112, ""1128"": 120, ""1168"": 125, ""1232"": 131, ""1397"": 144, ""1531"": 156, ""1657"": 168, ""1706"": 172, ""1786"": 178, ""1869"": 183, ""1972"": 190, ""2071"": 197, ""2214"": 209, ""2280"": 216}",2,6,"37.98706952, 23.75875395 ","37.9914926, 23.73333264",1669870800,12/1/2022 5:00,,280,248,1,0,4,0,2.447158031,2.394451681,0,264
"37.98706952, 23.75875395 , 37.9914926, 23.73333264",Leof. Alexandras,2282,2.3 km,4,"37.98706952, 23.75875395 ","37.9870695, 23.758754","37.9914926, 23.73333264","37.9914926, 23.7333326","{""0"": 0, ""85"": 13, ""97"": 18, ""163"": 31, ""199"": 39, ""283"": 53, ""367"": 61, ""448"": 68, ""628"": 82, ""737"": 90, ""768"": 93, ""818"": 96, ""906"": 104, ""1057"": 118, ""1128"": 127, ""1168"": 133, ""1232"": 140, ""1287"": 145, ""1342"": 150, ""1397"": 154, ""1455"": 160, ""1591"": 173, ""1657"": 180, ""1706"": 185, ""1786"": 192, ""1869"": 199, ""1972"": 205, ""2071"": 213, ""2214"": 225, ""2280"": 232}",3,7,"37.98706952, 23.75875395 ","37.9914926, 23.73333264",1669874400,12/1/2022 6:00,,657,735,1,0,4,0,2.81756537,2.866287339,0,696
"37.98706952, 23.75875395 , 37.9914926, 23.73333264",Leof. Alexandras,2282,2.3 km,5,"37.98706952, 23.75875395 ","37.9870695, 23.758754","37.9914926, 23.73333264","37.9914926, 23.7333326","{""0"": 0, ""85"": 13, ""97"": 17, ""163"": 28, ""199"": 34, ""283"": 48, ""367"": 57, ""448"": 64, ""737"": 91, ""768"": 94, ""818"": 99, ""906"": 108, ""956"": 114, ""983"": 116, ""1057"": 124, ""1128"": 136, ""1168"": 144, ""1232"": 152, ""1287"": 158, ""1342"": 164, ""1397"": 169, ""1455"": 174, ""1591"": 189, ""1657"": 197, ""1706"": 202, ""1786"": 209, ""1869"": 216, ""1972"": 223, ""2214"": 244, ""2280"": 251}",3,7,"37.98706952, 23.75875395 ","37.9914926, 23.73333264",1669878000,12/1/2022 7:00,,1012,1216,1,0,4,0,3.005180513,3.084933575,1,1114
"37.98706952, 23.75875395 , 37.9914926, 23.73333264",Leof. Alexandras,2282,2.3 km,6,"37.98706952, 23.75875395 ","37.9870695, 23.758754","37.9914926, 23.73333264","37.9914926, 23.7333326","{""0"": 0, ""163"": 44, ""199"": 54, ""283"": 73, ""367"": 84, ""448"": 94, ""628"": 120, ""737"": 133, ""818"": 142, ""906"": 154, ""956"": 162, ""983"": 165, ""1057"": 176, ""1128"": 190, ""1168"": 200, ""1232"": 209, ""1287"": 216, ""1342"": 223, ""1397"": 229, ""1455"": 236, ""1531"": 246, ""1591"": 255, ""1657"": 265, ""1706"": 272, ""1786"": 280, ""1869"": 288, ""1972"": 297, ""2071"": 308, ""2214"": 327, ""2280"": 339}",4,10,"37.98706952, 23.75875395 ","37.9914926, 23.73333264",1669881600,12/1/2022 8:00,,1099,1289,1,1,6,1,3.040997692,3.110252917,1,1194
"37.98706952, 23.75875395 , 37.9914926, 23.73333264",Leof. Alexandras,2282,2.3 km,7,"37.98706952, 23.75875395 ","37.9870695, 23.758754","37.9914926, 23.73333264","37.9914926, 23.7333326","{""0"": 0, ""85"": 30, ""97"": 36, ""163"": 56, ""199"": 67, ""283"": 89, ""367"": 103, ""448"": 115, ""628"": 148, ""737"": 164, ""818"": 174, ""906"": 188, ""956"": 196, ""983"": 200, ""1057"": 212, ""1128"": 226, ""1168"": 236, ""1232"": 245, ""1287"": 253, ""1342"": 260, ""1397"": 267, ""1455"": 275, ""1591"": 294, ""1657"": 305, ""1706"": 312, ""1786"": 321, ""1869"": 330, ""1972"": 340, ""2071"": 352, ""2214"": 377, ""2280"": 395}",4,12,"37.98706952, 23.75875395 ","37.9914926, 23.73333264",1669885200,12/1/2022 9:00,,1028,1122,1,1,8,1,3.011993115,3.049992857,1,1075
"37.98706952, 23.75875395 , 37.9914926, 23.73333264",Leof. Alexandras,2282,2.3 km,8,"37.98706952, 23.75875395 ","37.9870695, 23.758754","37.9914926, 23.73333264","37.9914926, 23.7333326","{""0"": 0, ""85"": 30, ""97"": 37, ""163"": 58, ""199"": 70, ""283"": 91, ""367"": 106, ""448"": 117, ""628"": 147, ""737"": 163, ""818"": 173, ""983"": 201, ""1057"": 212, ""1128"": 227, ""1168"": 236, ""1232"": 247, ""1287"": 256, ""1342"": 263, ""1397"": 271, ""1455"": 280, ""1531"": 291, ""1591"": 301, ""1657"": 314, ""1706"": 321, ""1786"": 332, ""1869"": 342, ""1972"": 354, ""2071"": 368, ""2214"": 404, ""2280"": 428}",5,14,"37.98706952, 23.75875395 ","37.9914926, 23.73333264",1669888800,12/1/2022 10:00,,985,1316,1,1,9,1,2.99343623,3.119255889,1,1150.5
"37.98706952, 23.75875395 , 37.9914926, 23.73333264",Leof. Alexandras,2282,2.3 km,8,"37.98706952, 23.75875395 ","37.9870695, 23.758754","37.9914926, 23.73333264","37.9914926, 23.7333326","{""0"": 0, ""85"": 34, ""97"": 40, ""163"": 62, ""199"": 75, ""283"": 97, ""367"": 110, ""448"": 121, ""628"": 154, ""737"": 171, ""818"": 183, ""906"": 197, ""956"": 206, ""983"": 210, ""1057"": 223, ""1128"": 239, ""1168"": 249, ""1232"": 260, ""1287"": 268, ""1342"": 276, ""1397"": 285, ""1455"": 294, ""1531"": 308, ""1591"": 320, ""1657"": 334, ""1706"": 344, ""1786"": 357, ""1869"": 369, ""1972"": 386, ""2071"": 408, ""2214"": 453, ""2280"": 479}",5,14,"37.98706952, 23.75875395 ","37.9914926, 23.73333264",1669892400,12/1/2022 11:00,,1009,1145,1,0,9,0,3.003891166,3.058805487,0,1077
"37.98706952, 23.75875395 , 37.9914926, 23.73333264",Leof. Alexandras,2282,2.3 km,9,"37.98706952, 23.75875395 ","37.9870695, 23.758754","37.9914926, 23.73333264","37.9914926, 23.7333326","{""0"": 0, ""85"": 30, ""97"": 37, ""163"": 58, ""199"": 70, ""283"": 90, ""367"": 104, ""448"": 116, ""628"": 149, ""737"": 167, ""768"": 172, ""818"": 179, ""906"": 194, ""983"": 207, ""1057"": 219, ""1128"": 234, ""1168"": 244, ""1232"": 254, ""1342"": 272, ""1397"": 280, ""1455"": 289, ""1531"": 304, ""1591"": 317, ""1657"": 332, ""1706"": 342, ""1786"": 355, ""1869"": 367, ""1972"": 382, ""2071"": 408, ""2214"": 466, ""2280"": 496}",6,16,"37.98706952, 23.75875395 ","37.9914926, 23.73333264",1669896000,12/1/2022 12:00,,968,1110,1,0,10,0,2.985875357,3.045322979,1,1039
"37.98706952, 23.75875395 , 37.9914926, 23.73333264",Leof. Alexandras,2282,2.3 km,9,"37.98706952, 23.75875395 ","37.9870695, 23.758754","37.9914926, 23.73333264","37.9914926, 23.7333326","{""0"": 0, ""85"": 23, ""97"": 29, ""163"": 47, ""199"": 58, ""283"": 78, ""367"": 93, ""448"": 103, ""628"": 132, ""737"": 149, ""768"": 153, ""818"": 160, ""906"": 173, ""956"": 180, ""983"": 184, ""1057"": 196, ""1128"": 213, ""1168"": 222, ""1232"": 234, ""1287"": 243, ""1397"": 261, ""1455"": 271, ""1531"": 286, ""1591"": 298, ""1657"": 313, ""1706"": 322, ""1786"": 336, ""1869"": 349, ""1972"": 369, ""2071"": 396, ""2214"": 455, ""2280"": 484}",5,16,"37.98706952, 23.75875395 ","37.9914926, 23.73333264",1669899600,12/1/2022 13:00,,959,1069,1,0,11,0,2.981818607,3.028977705,0,1014
"37.98706952, 23.75875395 , 37.9914926, 23.73333264",Leof. Alexandras,2282,2.3 km,10,"37.98706952, 23.75875395 ","37.9870695, 23.758754","37.9914926, 23.73333264","37.9914926, 23.7333326","{""0"": 0, ""97"": 46, ""163"": 72, ""199"": 86, ""283"": 112, ""367"": 127, ""448"": 139, ""628"": 170, ""737"": 187, ""768"": 192, ""818"": 199, ""906"": 212, ""983"": 225, ""1057"": 239, ""1128"": 256, ""1168"": 267, ""1232"": 279, ""1287"": 287, ""1397"": 306, ""1531"": 329, ""1657"": 352, ""1706"": 360, ""1786"": 373, ""1869"": 386, ""1972"": 415, ""2071"": 447, ""2214"": 513, ""2280"": 543}",6,16,"37.98706952, 23.75875395 ","37.9914926, 23.73333264",1669903200,12/1/2022 14:00,,1030,993,1,0,10,0,3.012837225,2.996949248,1,1011.5
